nimi_suomi,laji,laji_selite
Hirsipadontie,"1",Katu
Hirvilahdenkuja,"1",Katu
Hirvitie,"1",Katu
Hitsaajankatu,"1",Katu
Holkkitie,"1",Katu
Hollantilaisentie,"1",Katu
Hollolantie,"1",Katu
Honkaluodonrinne,"1",Katu
Honkatie,"1",Katu
Honkilahdentie,"1",Katu
Hopeakaivoksentie,"1",Katu
Hopeasalmenranta,"1",Katu
Hopeasalmentie,"1",Katu
Hopeatie,"1",Katu
Horsmakuja,"1",Katu
Huhmarekuja,"1",Katu
Huhtakivenkuja,"1",Katu
Huhtasuontie,"1",Katu
Huhtatie,"1",Katu
Huivipolku,"1",Katu
Humalistonkatu,"1",Katu
Humalniementie,"1",Katu
Humikkalankuja,"1",Katu
Humikkalantie,"1",Katu
Huntukuja,"1",Katu
Huntutie,"1",Katu
Elimäenkatu,"1",Katu
Eljaksentie,"1",Katu
Elonkuja,"1",Katu
Elonpolku,"1",Katu
Elontie,"1",Katu
Elovalkeantie,"1",Katu
Eläinlääkärinkatu,"1",Katu
Eläintarhantie,"1",Katu
Energiakatu,"1",Katu
Ensi linja,"1",Katu
Ensi parvi,"1",Katu
Ensi-Kodin tie,"1",Katu
Erkki Kivisen kuja,"1",Katu
Erkki Melartinin tie,"1",Katu
Ernst Lindelöfin katu,"1",Katu
Erottajankatu,"1",Katu
Ervastinkuja,"1",Katu
Erätie,"1",Katu
Esikkopolku,"1",Katu
Esikoisentie,"1",Katu
Eskelinsuo,"1",Katu
Eskolankuja,"1",Katu
Eskolantie,"1",Katu
Esterinportti,"1",Katu
Estetie,"1",Katu
Eteläesplanadi,"1",Katu
Etelähuhdankuja,"1",Katu
Eteläinen Hesperiankatu,"1",Katu
Eteläinen Makasiinikatu,"1",Katu
Eteläinen Rautatiekatu,"1",Katu
Eteläkärjentie,"1",Katu
Eteläranta,"1",Katu
Eteläreimarintie,"1",Katu
Etumetsänpolku,"1",Katu
Etumetsäntie,"1",Katu
Etupellontie,"1",Katu
Eurantie,"1",Katu
Fabianinkatu,"1",Katu
Fallinkuja,"1",Katu
Fallkullantie,"1",Katu
Fallpakankuja,"1",Katu
Fallpakantie,"1",Katu
Fantsintie,"1",Katu
Fastbölentie,"1",Katu
Fiikustie,"1",Katu
Fleminginkatu,"1",Katu
Floorantie,"1",Katu
Fokka,"1",Katu
Fredrikinkatu,"1",Katu
Freesenkatu,"1",Katu
Fregattikuja,"1",Katu
Fregattitie,"1",Katu
Furumonkuja,"1",Katu
Furuvikintie,"1",Katu
Gadolininkatu,"1",Katu
Granfeltintie,"1",Katu
Graniittitie,"1",Katu
Gunillankuja,"1",Katu
Gunillantie,"1",Katu
Gunnel Nymanin katu,"1",Katu
Gustav Pauligin katu,"1",Katu
Haagan pappilantie,"1",Katu
Haagan urheilutie,"1",Katu
Haahkakuja,"1",Katu
Haahkatie,"1",Katu
Haaksikuja,"1",Katu
Haapalahdenkatu,"1",Katu
Haapaniemenkatu,"1",Katu
Haapapolku,"1",Katu
Haapasaarentie,"1",Katu
Haapatie,"1",Katu
Haapsalunkuja,"1",Katu
Haarapääskynkuja,"1",Katu
Haarniskatie,"1",Katu
Haartmaninkatu,"1",Katu
Haastemiehentie,"1",Katu
Haavikkopolku,"1",Katu
Haavikkotie,"1",Katu
Hakalantie,"1",Katu
